product_id,product_family,stage_index,stage_name,work_center_id,unit_processing_minutes,base_setup_minutes
PURE_EK,OAK_PURE,1,Layer prep,PREP,0.1,10
PURE_EK,OAK_PURE,2,Press,PRESS,0.18,25
PURE_EK,OAK_PURE,3,Lack,LACK,0.12,18
PURE_EK,OAK_PURE,4,Profiling,PROFILING,0.09,12
PURE_EK,OAK_PURE,5,Pack,PACK,0.07,8
SHADE_EK,OAK_SHADE,1,Layer prep,PREP,0.11,11
SHADE_EK,OAK_SHADE,2,Press,PRESS,0.198,28
SHADE_EK,OAK_SHADE,3,Lack,LACK,0.132,20
SHADE_EK,OAK_SHADE,4,Profiling,PROFILING,0.099,13
SHADE_EK,OAK_SHADE,5,Pack,PACK,0.077,9
SPORT_OAK,SPORT_OAK,1,Layer prep,PREP,0.13,13
SPORT_OAK,SPORT_OAK,2,Press,PRESS,0.234,32
SPORT_OAK,SPORT_OAK,3,Lack,LACK,0.156,23
SPORT_OAK,SPORT_OAK,4,Profiling,PROFILING,0.117,16
SPORT_OAK,SPORT_OAK,5,Pack,PACK,0.091,10
TRES_STOCK,TRES,1,Layer prep,PREP,0.085,8
TRES_STOCK,TRES,2,Press,PRESS,0.153,21
TRES_STOCK,TRES,3,Lack,LACK,0.102,15
TRES_STOCK,TRES,4,Profiling,PROFILING,0.0765,10
TRES_STOCK,TRES,5,Pack,PACK,0.0595,7
